CASO,Épica,ID Historia,Nombre Historia,N° Escenario,Nombre Escenario,Escenario (Dado/Cuando/Entonces),Status,Comentario,Asignación
11,Gestionar Templates de Préstamos,PER-8,"Mi idea es que todos y cada uno estén en Gerkin y en un buen nivel de detalle, o el suficiente como para poder hacerlo. Necesito que me ayudes a eso: a poder hacerlo manteniendo la estructura de la tabla.",1,Escenario 1,"Dado que el operador selecciona un template existente, Cuando confirma la eliminación, Entonces el sistema da de baja el template.",Pendiente,,
12,Gestionar Templates de Préstamos,PER-8,,2,Escenario 2,"Dado que un template fue eliminado, Cuando el sistema procesa la acción, Entonces el registro no se elimina físicamente y debe conservar trazabilidad.",Pendiente,,
13,Gestionar Templates de Préstamos,PER-8,"Todos los escenarios tienen que tener un nombre. No se pueden llamar ""escenario 3"" o ""escenario 5"". Si tiene la columna ""número de escenario"", está bien, pero ""escenario 3"" como nombre de escenario no se puede llamar. Listo.",3,Escenario 3,"Dado que la eliminación se ejecuta correctamente, Cuando finaliza la operación, Entonces el sistema registra la acción para auditoría. Cualquier eliminación de un template NO modifica la solicitudes previamente asignadas a los usuarios.",Pendiente,,
14,Solicitud y Consulta de Préstamos,PER-20,Empleado consulta templates disponibles para su tag,1,Consulta exitosa,Dado que soy un empleado Y tengo un tag asociado Cuando consulto los préstamos disponibles Entonces recibo los templates de préstamos asignados a mi tag Y no pueden ser más de 3 Y cada préstamo incluye las variables: Monto Cantidad de cuotas Valor de cuota CFT TEA TNA Y el empleado no elige ni ve su…,Pendiente,,
15,Solicitud y Consulta de Préstamos,PER-21,Watson consulta préstamos solicitados por empleados,1,Consulta exitosa,"Dado que soy operador de backoffice Cuando consulto las solicitudes de préstamos Entonces recibo un listado con todas las solicitudes Y los variables monto de préstamo, tasa, cuotas restantes, cuotas totales, tag, CFT, capital adeudado, estado. Y al ingresar al detalle de una solicitud puedo ver el …",Pendiente,,
16,Solicitud y Consulta de Préstamos,PER-21,Watson consulta préstamos solicitados por empleados,2,Filtrar y Ordenar solicitudes,"Filtros: tag, pf/pj, cuotas totales, cliente, estado (en curso, pendiente, otorgado, cancelado, arrepentido, pagado), En curso. Desde que se crea la solicitud hasta que se confirma la firma de documentos con el otp/totp., Pendiente de Otorgamiento. Desde la firma de documentos hasta el otorgamiento …",Pendiente,,
17,Solicitud y Consulta de Préstamos,PER-22,Operador de Backoffice exporta los datos de los préstamos,1,Exportación exitosa,Dado que soy usuario de backoffice Cuando exporto los datos de préstamos desde la vista del backoffice Entonces obtengo un archivo `.xlsx` Y el archivo contiene todas las variables disponibles Y la exportación respeta los filtros aplicados en la vista,Pendiente,,
18,Solicitud y Consulta de Préstamos,PER-23,Empleado crea solicitud de préstamo,1,Crear solicitud,Dado que soy un empleado y tengo préstamos disponibles Cuando selecciono uno de mis 3 préstamos disponibles Entonces se crea una solicitud con estado “En Curso” Y se graban los valores de las variables del template de préstamo vigentes en ese momento Y se graban las cuotas correspondientes a esa sol…,Pendiente,,
19,Solicitud y Consulta de Préstamos,PER-23,Empleado crea solicitud de préstamo,2,Solicitud en curso expirada,Dado que existe una solicitud en curso sin confirmación Cuando transcurre 1 hora sin completar el proceso sin recibir la firma del empleado Entonces la solicitud expira,Pendiente,,
20,Solicitud y Consulta de Préstamos,PER-23,Empleado crea solicitud de préstamo,3,Cambio de template con solicitudes en estado en curso,Dado que existen solicitudes en curso asociadas a un template Cuando se modifica ese template Entonces las solicitudes pendientes/inconclusas asociadas expiran Y el usuario debe reiniciar el proceso con los nuevos valores,Pendiente,,
21,Firma de Documento,PER-48,Gestionar Template de Documento,1,Escenario 1,Ver listados los documentos,Pendiente,,
22,Firma de Documento,PER-48,Gestionar Template de Documento,2,Escenario 2,Dar de alta un documento,Pendiente,,
23,Firma de Documento,PER-48,Gestionar Template de Documento,3,Escenario 3,Dar de baja un documento,Pendiente,,
24,Firma de Documento,PER-48,Gestionar Template de Documento,4,Escenario 4,Reemplazar documento (genera nueva versión),Pendiente,,
25,Firma de Documento,PER-48,Gestionar Template de Documento,5,Escenario 5,"Si tengo distintas versiones de un documento, poder seleccionar el correcto/activo",Pendiente,,
26,Firma de Documento,PER-48,Gestionar Template de Documento,6,Escenario 6,Registrar cada acción en auditoría,Pendiente,,
27,Firma de Documento,PER-48,Gestionar Template de Documento,7,Escenario 7,Los documentos son DINAMICOS,Pendiente,,
28,Firma de Documento,PER-49,Cliente visualiza documento,1,Escenario 1,Se crea el documento con los datos asociados del préstamo/usuario.,Pendiente,,
29,Firma de Documento,PER-49,Cliente visualiza documento,2,Escenario 2,Se muestra al cliente este documento,Pendiente,,
30,Firma de Documento,PER-50,Almacenar documentos generados en servidor,1,Escenario 1,"Listar los documentos firmados por cliente (no los sábana, los unitarios)",Pendiente,,
31,Firma de Documento,PER-50,Almacenar documentos generados en servidor,2,Escenario 2,Filtrar,Pendiente,,
32,Firma de Documento,PER-50,Almacenar documentos generados en servidor,3,Escenario 3,Buscar,Pendiente,,
33,Firma de Documento,PER-50,Almacenar documentos generados en servidor,4,Escenario 4,Ordenar,Pendiente,,
34,Firma de Documento,PER-50,Almacenar documentos generados en servidor,5,Escenario 5,Descargar los documentos seleccionados en .zip,Pendiente,,
35,Firma de Documento,PER-50,Almacenar documentos generados en servidor,6,Escenario 6,"Restringir descarga hasta 25 documentos (5 por usuario aprox.) — Si no superan en media los 5mb. — Si los superan, serán mayer la restricción en cantidad.",Pendiente,,
36,Firma de Documento,PER-51,Empleado solicita código TOTP para firma,1,Escenario 1,"Luego del paso de ""la firma del documento""",Pendiente,,
37,Firma de Documento,PER-51,Empleado solicita código TOTP para firma,2,Escenario 2,Para CONSOLIDAR y GRABAR la firma el usuario debe validar con TOTP.,Pendiente,,
38,Firma de Documento,PER-51,Empleado solicita código TOTP para firma,3,Escenario 3,"Si el usuario NO logra pasar el paso de TOTP, NO se guardará el documento.",Pendiente,,
39,Firma de Documento,PER-51,Empleado solicita código TOTP para firma,4,Escenario 4,"Es decir, SOLAMENTE se guardarán los documentos en el BO SI Y SOLO SI se pasa exitosamente el paso del TOTP.",Pendiente,,
40,Firma de Documento,PER-52,Validar TOTP ingresado antes de firma,1,TOTP válido,Dado que ingreso TOTP correcto Cuando envío POST /solicitud/{solicitud_id}/firmar con { codigo_otp } Entonces se valida exitosamente Y se procede con firma,Pendiente,,
41,Firma de Documento,PER-52,Validar TOTP ingresado antes de firma,2,TOTP incorrecto,"Dado que ingreso TOTP equivocado Cuando envío POST Entonces recibo error 401 ""TOTP incorrecto"" Y se decrementa intentos_restantes",Pendiente,,
42,Firma de Documento,PER-52,Validar TOTP ingresado antes de firma,3,TOTP expirado,"Dado que pasaron 11 minutos desde que generé TOTP Cuando intento firmar con ese código Entonces recibo error 401 ""TOTP expirado""",Pendiente,,
43,Firma de Documento,PER-52,Validar TOTP ingresado antes de firma,4,Máximo de intentos,"Dado que cometí 3 errores con TOTP Cuando intento 4ta vez Entonces recibo error 403 ""Máximo de intentos excedido""",Pendiente,,
44,Firma de Documento,PER-52,Validar TOTP ingresado antes de firma,5,TOTP ya usado,"Dado que ya usé un TOTP para firmar Cuando intento usarlo de nuevo Entonces recibo error 401 ""TOTP ya fue usado""",Pendiente,,
45,Firma de Documento,PER-53,Aplicar firma digital al documento,1,Firma aplicada,Dado que TOTP es válido Cuando aplico firma Entonces el PDF es modificado con sello/timestamp de firma,Pendiente,,
46,Firma de Documento,PER-53,Aplicar firma digital al documento,2,Firma contiene timestamp,Dado que aplico firma Cuando veo el documento Entonces contiene 1. Fecha y hora exacta de firma 2. IP 3. Mac Address 4. Ubicación.,Pendiente,,
47,Firma de Documento,PER-53,Aplicar firma digital al documento,3,Firma marca documento,Dado que firmo documento Cuando veo después Entonces está visiblemente marcado como firmado,Pendiente,,
48,Firma de Documento,PER-53,Aplicar firma digital al documento,4,el estado de la solicitud de préstamo a Pendiente,Dado que aplico firma exitosamente Cuando se completa Entonces el estado de la solicitud de préstamo cambia a Pendiente,Pendiente,,
49,Firma de Documento,PER-54,Descargar documentos firmados en BO,1,Descarga documentos firmado,Dado que tengo documentos en estado FIRMADO Cuando solicito la descarga Entonces recibo PDFs con firma incrustada,Pendiente,,
50,Firma de Documento,PER-54,Descargar documentos firmados en BO,2,PDFs contienen firma,"Dado que descargo documento Cuando lo abro Entonces veo marca de firma, timestamp y datos de quién firmó",Pendiente,,
51,Firma de Documento,PER-55,Visualizar auditoría de los documentos firmados,1,Escenario 1,Visualizar el listado de documentos firmados,Pendiente,,
52,Firma de Documento,PER-55,Visualizar auditoría de los documentos firmados,2,Escenario 2,Descargar documentos,Pendiente,,
53,Firma de Documento,PER-55,Visualizar auditoría de los documentos firmados,3,Escenario 3,Solo se pueden descargar selecciones de 25 préstamos,Pendiente,,
54,Firma de Documento,PER-55,Visualizar auditoría de los documentos firmados,4,Escenario 4,"Filtrar por persona, fecha, versión, por estado del préstamo, tag, PF/PJ.",Pendiente,,
55,Firma de Documento,PER-63,Descargar el documento firmado del préstamo,1,Descarga en PDF,Dado que mi préstamo tiene un documento firmado Cuando lo descargo desde el detalle Entonces lo recibo en PDF,Pendiente,,
56,Firma de Documento,PER-63,Descargar el documento firmado del préstamo,2,Acceso registrado,Dado que descargo mi documento Cuando se entrega el archivo Entonces queda registrado el acceso (trazabilidad de datos personales),Pendiente,,
57,Sin épica,PER-61,Ver el detalle de mi préstamo,1,Datos principales,"Dado que abro mi préstamo Cuando lo veo Entonces veo el monto otorgado, el estado (Acreditado), la fecha de acreditación Y el identificador del préstamo",Pendiente,,
58,Sin épica,PER-61,Ver el detalle de mi préstamo,2,Progreso de pago,Dado que veo el detalle Cuando lo reviso Entonces veo cuántas cuotas pagué sobre el total y cuántas restan,Pendiente,,
59,Sin épica,PER-61,Ver el detalle de mi préstamo,3,Próxima cuota destacada,Dado que tengo cuotas pendientes Cuando veo el detalle Entonces se destaca el monto de la próxima cuota y el mes en que vence,Pendiente,,
60,Sin épica,PER-61,Ver el detalle de mi préstamo,4,Deuda restante,Dado que veo el detalle Cuando lo reviso Entonces veo el saldo que me queda por pagar,Pendiente,,
61,Sin épica,PER-61,Ver el detalle de mi préstamo,5,Accesos,"Dado que estoy en el detalle Cuando quiero profundizar Entonces puedo ver todas las cuotas y descargar los documentos firmados ABIERTO: ""Acreditado"" en la UI = estado OTORGADO en el sistema (mantener el mapeo)., Exponer CFT / TEA en esta vista (requisito Art. 36 LDC) — confirmar ubicación.",Pendiente,,
62,Sin épica,PER-62,Ver el desglose completo de las cuotas del préstamo,1,Listado completo,Dado que mi préstamo está otorgado Cuando abro las cuotas Entonces veo todas las cuotas ordenadas por número,Pendiente,,
63,Sin épica,PER-62,Ver el desglose completo de las cuotas del préstamo,2,Desglose de cada cuota,"Dado que miro una cuota Cuando la reviso Entonces veo número, fecha de vencimiento, total, y el desglose: capital amortizado, interés, IVA sobre el interés y gasto administrativo",Pendiente,,
64,Sin épica,PER-62,Ver el desglose completo de las cuotas del préstamo,3,Estado de cada cuota,"Dado que miro la lista Cuando la reviso Entonces cada cuota muestra su estado (pendiente, pagada, o vencida)",Pendiente,,
65,Sin épica,PER-62,Ver el desglose completo de las cuotas del préstamo,4,Solo mis cuotas,Dado que intento ver las cuotas de un préstamo que no es mío Cuando lo solicito Entonces no se me permite el acceso,Pendiente,,
66,Sin épica,PER-62,Ver el desglose completo de las cuotas del préstamo,5,Antes del otorgamiento,Dado que mi préstamo todavía no fue otorgado (sin desembolso) Cuando intento ver las cuotas Entonces todavía no hay cuotas generadas,Pendiente,,
67,Sin épica,PER-64,Consultar el préstamo y las cuotas de un empleado desde el backoffice,1,Abrir el préstamo,"Dado que busco un empleado o un préstamo Cuando lo abro Entonces veo su estado, monto, fechas e identificador",Pendiente,,
68,Sin épica,PER-64,Consultar el préstamo y las cuotas de un empleado desde el backoffice,2,Cuotas con desglose y estado,Dado que veo el préstamo Cuando reviso las cuotas Entonces veo cada una con su desglose y su estado de pago (pendiente / pagada / parcial / vencida),Pendiente,,
69,Sin épica,PER-64,Consultar el préstamo y las cuotas de un empleado desde el backoffice,3,Historial de pagos aplicados,Dado que veo el préstamo Cuando reviso su historial Entonces veo qué liquidaciones de La Mantovana se aplicaron a sus cuotas y cuándo,Pendiente,,
70,Sin épica,PER-64,Consultar el préstamo y las cuotas de un empleado desde el backoffice,4,Acceso protegido y auditado,Dado que no soy backoffice Cuando intento acceder Entonces se me rechaza Y todo acceso de un operador a datos de un empleado queda registrado,Pendiente,,
71,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,1,Desembolso con fondos,Dado que mi solicitud está firmada (firma + TOTP) y hay fondos en la cuenta recaudadora Cuando se procesa el desembolso Entonces recibo el monto en mi cuenta sueldo Y el préstamo pasa a OTORGADO,Pendiente,,
72,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,2,"Sin fondos: la solicitud espera, no se rechaza",Dado que mi solicitud está firmada pero no hay fondos suficientes Cuando se intenta desembolsar Entonces mi solicitud permanece PENDIENTE (no recibo un rechazo) Y el sistema reintenta automáticamente cada 5 minutos (parametrizable en variable de entorno).,Pendiente,,
73,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,3,Ingresan fondos dentro de la ventana,Dado que mi desembolso quedó pendiente por falta de fondos Cuando ingresan fondos a la recaudadora antes de cumplirse las 24h Entonces el sistema desembolsa automáticamente sin que yo tenga que hacer nada,Pendiente,,
74,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,4,Ingresan fondos dentro de la ventana,"si se cumplen las 24hs SIN tener fondos para desembolsar, la solicitud SE CANCELA. (a días corridos)",Pendiente,,
75,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,5,Destino fijo,"Dado que tengo varias cuentas Cuando se desembolsa Entonces el dinero va siempre a mi cuenta sueldo, sin que yo elija destino",Pendiente,,
76,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,6,Trazabilidad,"Dado que se intenta un desembolso (exitoso o pendiente) Cuando se procesa Entonces queda registrado para auditoría: monto, cuenta destino, resultado y fecha",Pendiente,,
77,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,7,Escenario 7,FIFO para procesar la cola de desembolsos pendientes,Pendiente,,
78,Descuento de cuotas,PER-66,Generar el archivo mensual de novedades para La Mantovana,1,Solo cuotas del ciclo vigente,"Dado que tengo préstamos en distintos estados Cuando genero el archivo antes del día de corte Entonces el archivo incluye solo las cuotas de préstamos OTORGADOS cuyo descuento cae en el mes corriente Y excluye préstamos en cualquier otro estado Y se registra en auditoría la exportación (operador, fe…",Pendiente,,
79,Descuento de cuotas,PER-66,Generar el archivo mensual de novedades para La Mantovana,2,Préstamo otorgado después del corte,Dado que un préstamo fue OTORGADO después del día de corte del ciclo Cuando cae el día de exportación Entonces ese préstamo queda excluido del archivo del mes corriente Y entra en el archivo del ciclo siguiente (primera cuota a ~33 días del otorgamiento),Pendiente,,
80,Descuento de cuotas,PER-66,Generar el archivo mensual de novedades para La Mantovana,3,Solo los datos necesarios para el descuento,"Dado que genero el archivo Cuando reviso su contenido Entonces incluye únicamente: número de legajo, id cuota, nombre del empleado, importe de la cuota. Y no incluye datos personales accesorios que no sean necesarios para el descuento en Finegans",Pendiente,,
81,Descuento de cuotas,PER-66,Generar el archivo mensual de novedades para La Mantovana,4,Archivo identificable,"Dado que genero el archivo Cuando lo descargo o se envía Entonces tiene un nombre con fecha y hora que lo identifica de forma única (ej. ""Cuotas a Descontar 20-06-2026 16:35:00"") ABIERTO: Confirmar si el legajo viene de la importación masiva de empleados o de acceso directo a la base de La Mantovana…",Pendiente,,
82,Descuento de cuotas,PER-67,Configurar el envío automático del archivo de novedades,1,Configurar el día de corte,Dado que soy administrador Cuando accedo a la configuración Entonces puedo definir el día del mes en que se genera y envía el archivo (default: día 20) Y ese valor es un valor en base.,Pendiente,,
83,Descuento de cuotas,PER-67,Configurar el envío automático del archivo de novedades,2,Envío automático por mail,"Dado que llega el día de corte configurado Cuando el sistema genera el archivo Entonces lo envía automáticamente por mail como adjunto a la casilla configurada (Isis Rondon, CC Nicolás López)",Pendiente,,
84,Descuento de cuotas,PER-67,Configurar el envío automático del archivo de novedades,3,Registro en auditoría del envío,"Dado que el sistema completa el envío automático Cuando el mail se despacha Entonces queda registrado: fecha, hora, destinatarios, nombre del archivo adjunto, resultado del envío (ok / error)",Pendiente,,
85,Descuento de cuotas,PER-67,Configurar el envío automático del archivo de novedades,4,Fallo en el envío automático,"Dado que el envío automático falla (error de servidor de mail, casilla inválida) Cuando ocurre el error Entonces el sistema notifica al backoffice para acción manual Y el archivo queda disponible para descarga y envío manual",Pendiente,,
86,Descuento de cuotas,PER-68,Consultar el histórico de exportaciones,1,Listado de exportaciones,"Dado que accedo al histórico Cuando lo consulto Entonces veo todas las exportaciones, de la más reciente a la más antigua",Pendiente,,
87,Descuento de cuotas,PER-68,Consultar el histórico de exportaciones,2,Detalle de cada exportación,"Dado que miro una fila del histórico Cuando la reviso Entonces veo fecha, cantidad de registros, monto total, estado y operador que la generó",Pendiente,,
88,Descuento de cuotas,PER-68,Consultar el histórico de exportaciones,3,Paginación,Dado que hay muchas exportaciones Cuando consulto la primera página Entonces veo un bloque acotado (25 por defecto),Pendiente,,
89,Descuento de cuotas,PER-68,Consultar el histórico de exportaciones,4,Escenario 4,"filtrado por usuario, fecha",Pendiente,,
90,Descuento de cuotas,PER-69,Importar el archivo de liquidaciones y obtener un resumen,1,Importación exitosa,Dado que tengo el archivo de liquidaciones enviado por La Mantovana (llega el 4° día hábil del mes) Cuando lo cargo en el sistema Entonces el sistema lo procesa y actualiza los pagos correspondientes,Pendiente,,
91,Descuento de cuotas,PER-69,Importar el archivo de liquidaciones y obtener un resumen,2,Archivo con formato incorrecto,"Dado que el archivo no tiene el formato esperado (columnas faltantes, tipos incorrectos, estructura desconocida) Cuando lo cargo Entonces se rechaza íntegro con un mensaje claro Y no se actualiza ningún pago",Pendiente,,
92,Descuento de cuotas,PER-69,Importar el archivo de liquidaciones y obtener un resumen,3,Resumen al finalizar,"Dado que la importación termina Cuando consulto el resultado Entonces recibo un resumen con: total de registros recibidos, cuántos se procesaron correctamente, cuántos con error",Pendiente,,
93,Descuento de cuotas,PER-69,Importar el archivo de liquidaciones y obtener un resumen,4,Detalle de los errores,"Dado que hubo registros con error en la importación Cuando reviso el resumen Entonces veo, por cada error: préstamo, empleado y descripción del fallo ABIERTO: Quarks debe definir los campos exactos del archivo de vuelta y pasárselos a La Mantovana para que los configure en Finnegans (sin cerrar al 1…",Pendiente,,
94,Descuento de cuotas,PER-70,Aplicar los pagos importados a las cuotas correctas,1,Pago sin préstamo coincidente,Dado que un pago apunta a un legajo o identificador que no existe en el sistema Cuando intento emparejarlo Entonces lo registro como error y continúo con el resto,Pendiente,,
95,Descuento de cuotas,PER-70,Aplicar los pagos importados a las cuotas correctas,2,Pago completo,Dado que el monto pagado es igual al monto de la cuota (la primera que NO esté pagada previamente) Cuando lo aplico Entonces la cuota queda PAGADA con la fecha de retención del pago de haberes,Pendiente,,
96,Descuento de cuotas,PER-70,Aplicar los pagos importados a las cuotas correctas,3,Pago parcial,Dado que el monto pagado es menor al monto de la cuota Cuando lo aplico Entonces la cuota NO queda PAGADA Y queda con status PAGO CON ERROR Y se genera un error con descripción del desvío Y marcando el monto faltante,Pendiente,,
97,Descuento de cuotas,PER-70,Aplicar los pagos importados a las cuotas correctas,4,Préstamo saldado,Dado que con este pago todas las cuotas del préstamo quedan PAGADAS Cuando se completa la aplicación Entonces el préstamo pasa a estado PAGADO,Pendiente,,
98,Descuento de cuotas,PER-70,Aplicar los pagos importados a las cuotas correctas,5,Préstamo ya pagado,"Dado que un préstamo ya estaba en estado PAGADO Cuando llega un nuevo dato para ese préstamo Entonces se genera un error ""Préstamo ya pagado"" y el registro no se modifica",Pendiente,,
99,Descuento de cuotas,PER-70,Aplicar los pagos importados a las cuotas correctas,6,Cuota pagada de más: PAGO CON ERROR,"Dado que un préstamo ya estaba en estado PAGADO Cuando llega un nuevo dato para ese préstamo Entonces se genera un error ""PAGO CON ERROR"" y el registro no se modifica",Pendiente,,
100,Descuento de cuotas,PER-71,Cargar pago realizado manualmente,1,Cargar pago manual,Dado que estoy en el detalle del préstamo / panel de diferencias Cuando uso el botón de carga manual de pago Entonces selecciono primero al cliente y luego la cuota del préstamo Y registro el monto del pago y la fecha Y se crea una línea dentro de los pagos del préstamo,Pendiente,,
101,Descuento de cuotas,PER-71,Cargar pago realizado manualmente,2,Completar una cuota en PAGO CON ERROR,"Dado que una cuota quedó en estado PAGO CON ERROR con un monto faltante (ej. vinieron 90 de 100) Cuando cargo manualmente el monto faltante (10) y confirmo Entonces la cuota queda PAGADA con su fecha Y, si con esa cuota se saldan todas las del préstamo, el préstamo pasa a PAGADO",Pendiente,,
102,Descuento de cuotas,PER-71,Cargar pago realizado manualmente,3,Pago manual aún insuficiente,Dado que el monto cargado es menor al faltante de la cuota Cuando lo confirmo Entonces la cuota sigue en PAGO PARCIAL Y se actualiza el saldo faltante restante,Pendiente,,
103,Descuento de cuotas,PER-71,Cargar pago realizado manualmente,4,Dar por pagada sin completar el monto,Dado que una cuota quedó en PAGO CON ERROR y operativamente decido darla por pagada Cuando la marco como PAGADA desde el backoffice Entonces la cuota queda PAGADA Y queda registrado el monto efectivamente percibido y el faltante no cobrado (para el cuadre posterior),Pendiente,,
104,Descuento de cuotas,PER-71,Cargar pago realizado manualmente,5,Auditoría del pago manual,"Dado que cargo un pago manual o doy una cuota por pagada Cuando lo confirmo Entonces se registra en auditoría: quién lo cargó, cuándo (fecha y hora) y cuánto",Pendiente,,
105,Descuento de cuotas,PER-71,Cargar pago realizado manualmente,6,Devolución sobre cuota PAGO CON ERROR,"Dado que a un cliente se le descontó de más y la cuota quedó en estado PAGO CON ERROR Cuando registro una devolución al cliente Entonces se registra el monto devuelto sobre esa cuota Y la cuota queda PAGADA (sin el excedente) Y queda asentado en auditoría: quién registró la devolución, cuándo y cuán…",Pendiente,,
106,Descuento de cuotas,PER-72,Consultar las liquidaciones importadas,1,Listado,Dado que accedo a las liquidaciones Cuando las consulto Entonces veo las importadas de la más reciente a la más antigua,Pendiente,,
107,Descuento de cuotas,PER-72,Consultar las liquidaciones importadas,2,Detalle,"Dado que selecciono una liquidación Cuando la abro Entonces veo: empleado, préstamo, monto total y fecha de retención",Pendiente,,
108,Descuento de cuotas,PER-72,Consultar las liquidaciones importadas,3,Filtro por estado,"Dado que tengo liquidaciones en distintos estados (procesada, reconciliada, con errores) Cuando filtro por un estado Entonces veo solo las que están en ese estado",Pendiente,,
109,Descuento de cuotas,PER-72,Consultar las liquidaciones importadas,4,Paginación,Dado que hay muchas liquidaciones Cuando consulto una página Entonces veo un bloque acotado (25 por defecto),Pendiente,,
110,Descuento de cuotas,PER-76,Visualizar solicitudes pendientes de fondos,1,Escenario 1,expira en xtiempo ordenadas por orden de llegada,Pendiente,,
111,Cancelaciones,PER-73,Arrepentirse del préstamo dentro de los 10 días corridos sin costo,1,Botón en la sección Préstamos,"Dado que estoy en la sección Préstamos de la app Cuando la abro Entonces veo un botón rotulado ""Botón de Arrepentimiento"" accesible dentro de esa sección",Pendiente,,
112,Cancelaciones,PER-73,Arrepentirse del préstamo dentro de los 10 días corridos sin costo,2,Dentro del plazo,Dado que recibí el desembolso hace 10 días corridos o menos Cuando solicito el arrepentimiento Entonces la solicitud se acepta,Pendiente,,
113,Cancelaciones,PER-73,Arrepentirse del préstamo dentro de los 10 días corridos sin costo,3,Sin costo,"Dado que me arrepiento dentro del plazo Cuando reviso lo que tengo que devolver Entonces devuelvo únicamente el capital recibido, sin intereses, comisiones ni penalidades",Pendiente,,
114,Cancelaciones,PER-73,Arrepentirse del préstamo dentro de los 10 días corridos sin costo,4,Código de trámite en pantalla,Dado que envío la solicitud de arrepentimiento Cuando se registra Entonces veo en pantalla el código de identificación del trámite,Pendiente,,
115,Cancelaciones,PER-73,Arrepentirse del préstamo dentro de los 10 días corridos sin costo,5,Efecto,"Dado que envié la solicitud dentro del plazo Cuando se registra Entonces queda como solicitud de cancelación pendiente con su código Y la cancelación se completa cuando el BO la confirma: el préstamo pasa a ARREPENTIDO, se cancelan las cuotas futuras y se frena el descuento por nómina",Pendiente,,
116,Cancelaciones,PER-73,Arrepentirse del préstamo dentro de los 10 días corridos sin costo,6,Fuera del plazo,Dado que pasaron más de 10 días corridos desde el desembolso Cuando intento arrepentirme Entonces el arrepentimiento ya no está disponible y se me ofrece la cancelación anticipada,Pendiente,,
117,Cancelaciones,PER-74,Cancelar anticipadamente el préstamo otorgado pagando el saldo,1,Disponible en cualquier momento,Dado que mi préstamo está otorgado Cuando quiero cancelarlo por completo de forma anticipada Entonces puedo iniciar la cancelación en cualquier momento,Pendiente,,
118,Cancelaciones,PER-74,Cancelar anticipadamente el préstamo otorgado pagando el saldo,2,Monto transparente antes de confirmar,Dado que inicio la cancelación anticipada Cuando reviso la operación Entonces veo el monto total a pagar desglosado (capital restante + costos aplicables) antes de confirmar,Pendiente,,
