CASO,Épica,ID Historia,Nombre Historia,N° Escenario,Nombre Escenario,Escenario (Dado/Cuando/Entonces),Status,Comentario,Asignación,Nombre Historia (original),Nombre Escenario (original),Escenario (original)
11,Gestionar Templates de Préstamos,PER-8,Dar de baja un template de préstamo,1,Dar de baja el template,"Dado que el operador selecciona un template existente, Cuando confirma la eliminación, Entonces el sistema da de baja el template.",Pendiente,,,"Mi idea es que todos y cada uno estén en Gerkin y en un buen nivel de detalle, o el suficiente como para poder hacerlo. Necesito que me ayudes a eso: a poder hacerlo manteniendo la estructura de la tabla.",Escenario 1,
12,Gestionar Templates de Préstamos,PER-8,Dar de baja un template de préstamo,2,Baja lógica con trazabilidad,"Dado que un template fue eliminado, Cuando el sistema procesa la acción, Entonces el registro no se elimina físicamente y debe conservar trazabilidad.",Pendiente,,,,Escenario 2,
13,Gestionar Templates de Préstamos,PER-8,Dar de baja un template de préstamo,3,Auditoría de baja sin afectar solicitudes vigentes,"Dado que la eliminación se ejecuta correctamente, Cuando finaliza la operación, Entonces el sistema registra la acción para auditoría. Cualquier eliminación de un template NO modifica la solicitudes previamente asignadas a los usuarios.",Pendiente,,,"Todos los escenarios tienen que tener un nombre. No se pueden llamar ""escenario 3"" o ""escenario 5"". Si tiene la columna ""número de escenario"", está bien, pero ""escenario 3"" como nombre de escenario no se puede llamar. Listo.",Escenario 3,
14,Solicitud y Consulta de Préstamos,PER-20,Empleado consulta templates disponibles para su tag,1,Consulta exitosa,"Dado que soy un empleado Y tengo un tag asociado Cuando consulto los préstamos disponibles Entonces recibo los templates de préstamos asignados a mi tag Y no pueden ser más de 3 Y cada préstamo incluye las variables: Monto, Cantidad de cuotas, Valor de cuota, CFT, TEA, TNA Y el empleado no elige ni ve su tasa ni el detalle interno de cálculo (solo ve las variables expuestas).",Pendiente,"ABIERTO: la celda original quedaba truncada en '…no elige ni ve su…'; cierre completado tentativamente, validar con el PO.",,,,Dado que soy un empleado Y tengo un tag asociado Cuando consulto los préstamos disponibles Entonces recibo los templates de préstamos asignados a mi tag Y no pueden ser más de 3 Y cada préstamo incluye las variables: Monto Cantidad de cuotas Valor de cuota CFT TEA TNA Y el empleado no elige ni ve su…
15,Solicitud y Consulta de Préstamos,PER-21,Watson consulta préstamos solicitados por empleados,1,Consulta exitosa,"Dado que soy operador de backoffice Cuando consulto las solicitudes de préstamos Entonces recibo un listado con todas las solicitudes Y las variables monto de préstamo, tasa, cuotas restantes, cuotas totales, tag, CFT, capital adeudado, estado. Y al ingresar al detalle de una solicitud puedo ver el detalle completo de la misma.",Pendiente,ABIERTO: la celda original quedaba truncada en '…puedo ver el…'; completar el detalle exacto que se muestra en la solicitud.,,,,"Dado que soy operador de backoffice Cuando consulto las solicitudes de préstamos Entonces recibo un listado con todas las solicitudes Y los variables monto de préstamo, tasa, cuotas restantes, cuotas totales, tag, CFT, capital adeudado, estado. Y al ingresar al detalle de una solicitud puedo ver el …"
16,Solicitud y Consulta de Préstamos,PER-21,Watson consulta préstamos solicitados por empleados,2,Filtrar y Ordenar solicitudes,"Dado que soy operador de backoffice y estoy en el listado de solicitudes, Cuando aplico filtros (tag, PF/PJ, cuotas totales, cliente, estado) y/u ordeno el listado, Entonces veo solo las solicitudes que coinciden, ordenadas según el criterio elegido. (Estados: En Curso = desde que se crea la solicitud hasta que se confirma la firma de documentos con OTP/TOTP; Pendiente de Otorgamiento = desde la firma de documentos hasta el otorgamiento; Otorgado; Cancelado; Arrepentido; Pagado.)",Pendiente,Convertido a Gherkin. ABIERTO: las definiciones de los estados quedaban truncadas en origen ('…desde la firma hasta el otorgamiento…'); validar el detalle de cada estado.,,,,"Filtros: tag, pf/pj, cuotas totales, cliente, estado (en curso, pendiente, otorgado, cancelado, arrepentido, pagado), En curso. Desde que se crea la solicitud hasta que se confirma la firma de documentos con el otp/totp., Pendiente de Otorgamiento. Desde la firma de documentos hasta el otorgamiento …"
17,Solicitud y Consulta de Préstamos,PER-22,Operador de Backoffice exporta los datos de los préstamos,1,Exportación exitosa,Dado que soy usuario de backoffice Cuando exporto los datos de préstamos desde la vista del backoffice Entonces obtengo un archivo `.xlsx` Y el archivo contiene todas las variables disponibles Y la exportación respeta los filtros aplicados en la vista,Pendiente,,,,,
18,Solicitud y Consulta de Préstamos,PER-23,Empleado crea solicitud de préstamo,1,Crear solicitud,Dado que soy un empleado y tengo préstamos disponibles Cuando selecciono uno de mis 3 préstamos disponibles Entonces se crea una solicitud con estado “En Curso” Y se graban los valores de las variables del template de préstamo vigentes en ese momento Y se graban las cuotas correspondientes a esa solicitud.,Pendiente,,,,,Dado que soy un empleado y tengo préstamos disponibles Cuando selecciono uno de mis 3 préstamos disponibles Entonces se crea una solicitud con estado “En Curso” Y se graban los valores de las variables del template de préstamo vigentes en ese momento Y se graban las cuotas correspondientes a esa sol…
19,Solicitud y Consulta de Préstamos,PER-23,Empleado crea solicitud de préstamo,2,Solicitud en curso expirada,Dado que existe una solicitud en curso sin confirmación Cuando transcurre 1 hora sin completar el proceso sin recibir la firma del empleado Entonces la solicitud expira,Pendiente,,,,,
20,Solicitud y Consulta de Préstamos,PER-23,Empleado crea solicitud de préstamo,3,Cambio de template con solicitudes en estado en curso,Dado que existen solicitudes en curso asociadas a un template Cuando se modifica ese template Entonces las solicitudes pendientes/inconclusas asociadas expiran Y el usuario debe reiniciar el proceso con los nuevos valores,Pendiente,,,,,
21,Firma de Documento,PER-48,Gestionar Template de Documento,1,Visualizar el listado de documentos,"Dado que el operador accede a la gestión de templates de documento, Cuando ingresa al listado, Entonces visualiza todos los templates de documento registrados con su nombre, versión y estado (activo/inactivo).",Pendiente,,,,Escenario 1,Ver listados los documentos
22,Firma de Documento,PER-48,Gestionar Template de Documento,2,Alta de documento,"Dado que el operador está en la gestión de templates de documento, Cuando carga un nuevo documento (HTML dinámico) y confirma el alta, Entonces el sistema lo registra como template disponible para asociar a préstamos.",Pendiente,,,,Escenario 2,Dar de alta un documento
23,Firma de Documento,PER-48,Gestionar Template de Documento,3,Baja de documento,"Dado que existe un template de documento activo, Cuando el operador lo da de baja, Entonces deja de estar disponible para nuevas solicitudes y se conserva su trazabilidad (baja lógica, no física).",Pendiente,,,,Escenario 3,Dar de baja un documento
24,Firma de Documento,PER-48,Gestionar Template de Documento,4,Reemplazar documento (nueva versión),"Dado que existe un template de documento, Cuando el operador lo reemplaza por un archivo nuevo, Entonces el sistema genera una nueva versión y conserva las versiones anteriores.",Pendiente,,,,Escenario 4,Reemplazar documento (genera nueva versión)
25,Firma de Documento,PER-48,Gestionar Template de Documento,5,Seleccionar la versión activa del documento,"Dado que un documento tiene varias versiones, Cuando el operador selecciona la versión correcta, Entonces esa versión queda marcada como activa y es la que se usa en las nuevas solicitudes.",Pendiente,,,,Escenario 5,"Si tengo distintas versiones de un documento, poder seleccionar el correcto/activo"
26,Firma de Documento,PER-48,Gestionar Template de Documento,6,Auditoría de acciones sobre documentos,"Dado que el operador realiza una acción sobre un template de documento (alta, baja, reemplazo o cambio de versión), Cuando la confirma, Entonces el sistema registra en auditoría: usuario, fecha y hora, acción y documento afectado.",Pendiente,,,,Escenario 6,Registrar cada acción en auditoría
27,Firma de Documento,PER-48,Gestionar Template de Documento,7,Documentos dinámicos con variables,"Dado que un template de documento contiene variables (ej. {nombre}, {apellido}, {monto}), Cuando se genera el documento para un préstamo, Entonces las variables se reemplazan por los datos reales del usuario y del préstamo.",Pendiente,,,,Escenario 7,Los documentos son DINAMICOS
28,Firma de Documento,PER-49,Cliente visualiza documento,1,Generar el documento con datos del préstamo/usuario,"Dado que el cliente tiene una solicitud en curso, Cuando llega la instancia de firma, Entonces se genera el documento con los datos asociados del préstamo y del usuario.",Pendiente,,,,Escenario 1,Se crea el documento con los datos asociados del préstamo/usuario.
29,Firma de Documento,PER-49,Cliente visualiza documento,2,Mostrar el documento al cliente,"Dado que el documento fue generado, Cuando el cliente accede al paso de firma, Entonces el sistema le muestra el documento para su lectura antes de firmar.",Pendiente,,,,Escenario 2,Se muestra al cliente este documento
30,Firma de Documento,PER-50,Almacenar documentos generados en servidor,1,Listar documentos unitarios firmados,"Dado que el operador accede al repositorio de documentos, Cuando lo consulta, Entonces visualiza los documentos firmados por cliente (unitarios, no los consolidados/sábana).",Pendiente,,,,Escenario 1,"Listar los documentos firmados por cliente (no los sábana, los unitarios)"
31,Firma de Documento,PER-50,Almacenar documentos generados en servidor,2,Filtrar documentos,"Dado que el operador está en el listado de documentos, Cuando aplica filtros (por cliente, fecha, estado o tag), Entonces el listado se reduce a los que cumplen el criterio.",Pendiente,,,,Escenario 2,Filtrar
32,Firma de Documento,PER-50,Almacenar documentos generados en servidor,3,Buscar documentos,"Dado que el operador está en el listado de documentos, Cuando busca por cliente o por identificador de préstamo, Entonces obtiene los documentos que coinciden.",Pendiente,,,,Escenario 3,Buscar
33,Firma de Documento,PER-50,Almacenar documentos generados en servidor,4,Ordenar documentos,"Dado que el operador está en el listado de documentos, Cuando ordena por una columna (fecha o cliente), Entonces el listado se reordena según ese criterio.",Pendiente,,,,Escenario 4,Ordenar
34,Firma de Documento,PER-50,Almacenar documentos generados en servidor,5,Descargar la selección en .zip,"Dado que el operador seleccionó uno o varios documentos, Cuando solicita la descarga, Entonces recibe un archivo .zip con los documentos seleccionados.",Pendiente,,,,Escenario 5,Descargar los documentos seleccionados en .zip
35,Firma de Documento,PER-50,Almacenar documentos generados en servidor,6,Restricción de cantidad/tamaño en la descarga,"Dado que el operador selecciona documentos para descargar, Cuando la selección supera los 25 documentos (~5 por usuario) o el tamaño medio de 5 MB, Entonces el sistema restringe la descarga y le pide reducir la selección.",Pendiente,"ABIERTO: la regla de tope por tamaño ('si superan 5 MB, mayor restricción en cantidad') no está definida con precisión; confirmar el umbral exacto.",,,Escenario 6,"Restringir descarga hasta 25 documentos (5 por usuario aprox.) — Si no superan en media los 5mb. — Si los superan, serán mayer la restricción en cantidad."
36,Firma de Documento,PER-51,Empleado solicita código TOTP para firma,1,Solicitud de TOTP tras la firma,"Dado que el empleado completó el paso de firma del documento, Cuando avanza para consolidar la firma, Entonces el sistema le solicita el código TOTP.",Pendiente,,,,Escenario 1,"Luego del paso de ""la firma del documento"""
37,Firma de Documento,PER-51,Empleado solicita código TOTP para firma,2,TOTP obligatorio para consolidar la firma,"Dado que el empleado firmó el documento, Cuando valida correctamente el TOTP, Entonces la firma se consolida y se graba.",Pendiente,,,,Escenario 2,Para CONSOLIDAR y GRABAR la firma el usuario debe validar con TOTP.
38,Firma de Documento,PER-51,Empleado solicita código TOTP para firma,3,Firma no se guarda sin TOTP válido,"Dado que el empleado no logra validar el TOTP, Cuando intenta consolidar la firma, Entonces el documento NO se guarda.",Pendiente,,,,Escenario 3,"Si el usuario NO logra pasar el paso de TOTP, NO se guardará el documento."
39,Firma de Documento,PER-51,Empleado solicita código TOTP para firma,4,Persistencia condicionada al TOTP exitoso,"Dado el flujo de firma, Cuando se evalúa la persistencia del documento, Entonces se guarda en el BO si y solo si el TOTP fue validado exitosamente.",Pendiente,,,,Escenario 4,"Es decir, SOLAMENTE se guardarán los documentos en el BO SI Y SOLO SI se pasa exitosamente el paso del TOTP."
40,Firma de Documento,PER-52,Validar TOTP ingresado antes de firma,1,TOTP válido,Dado que ingreso TOTP correcto Cuando envío POST /solicitud/{solicitud_id}/firmar con { codigo_otp } Entonces se valida exitosamente Y se procede con firma,Pendiente,,,,,
41,Firma de Documento,PER-52,Validar TOTP ingresado antes de firma,2,TOTP incorrecto,"Dado que ingreso TOTP equivocado Cuando envío POST Entonces recibo error 401 ""TOTP incorrecto"" Y se decrementa intentos_restantes",Pendiente,,,,,
42,Firma de Documento,PER-52,Validar TOTP ingresado antes de firma,3,TOTP expirado,"Dado que pasaron 11 minutos desde que generé TOTP Cuando intento firmar con ese código Entonces recibo error 401 ""TOTP expirado""",Pendiente,,,,,
43,Firma de Documento,PER-52,Validar TOTP ingresado antes de firma,4,Máximo de intentos,"Dado que cometí 3 errores con TOTP Cuando intento 4ta vez Entonces recibo error 403 ""Máximo de intentos excedido""",Pendiente,,,,,
44,Firma de Documento,PER-52,Validar TOTP ingresado antes de firma,5,TOTP ya usado,"Dado que ya usé un TOTP para firmar Cuando intento usarlo de nuevo Entonces recibo error 401 ""TOTP ya fue usado""",Pendiente,,,,,
45,Firma de Documento,PER-53,Aplicar firma digital al documento,1,Firma aplicada,Dado que TOTP es válido Cuando aplico firma Entonces el PDF es modificado con sello/timestamp de firma,Pendiente,,,,,
46,Firma de Documento,PER-53,Aplicar firma digital al documento,2,Firma contiene timestamp,Dado que aplico firma Cuando veo el documento Entonces contiene 1. Fecha y hora exacta de firma 2. IP 3. Mac Address 4. Ubicación.,Pendiente,,,,,
47,Firma de Documento,PER-53,Aplicar firma digital al documento,3,Firma marca documento,Dado que firmo documento Cuando veo después Entonces está visiblemente marcado como firmado,Pendiente,,,,,
48,Firma de Documento,PER-53,Aplicar firma digital al documento,4,Cambio de estado de la solicitud a Pendiente,Dado que aplico firma exitosamente Cuando se completa Entonces el estado de la solicitud de préstamo cambia a Pendiente,Pendiente,,,,el estado de la solicitud de préstamo a Pendiente,
49,Firma de Documento,PER-54,Descargar documentos firmados en BO,1,Descarga documentos firmado,Dado que tengo documentos en estado FIRMADO Cuando solicito la descarga Entonces recibo PDFs con firma incrustada,Pendiente,,,,,
50,Firma de Documento,PER-54,Descargar documentos firmados en BO,2,PDFs contienen firma,"Dado que descargo documento Cuando lo abro Entonces veo marca de firma, timestamp y datos de quién firmó",Pendiente,,,,,
51,Firma de Documento,PER-55,Visualizar auditoría de los documentos firmados,1,Visualizar el listado de documentos firmados,"Dado que el operador accede a la auditoría de documentos firmados, Cuando la consulta, Entonces visualiza el listado de documentos firmados.",Pendiente,,,,Escenario 1,Visualizar el listado de documentos firmados
52,Firma de Documento,PER-55,Visualizar auditoría de los documentos firmados,2,Descargar documentos,"Dado que el operador está en la auditoría de documentos firmados, Cuando selecciona documentos y solicita la descarga, Entonces los recibe en PDF con la firma incrustada.",Pendiente,,,,Escenario 2,Descargar documentos
53,Firma de Documento,PER-55,Visualizar auditoría de los documentos firmados,3,Límite de 25 en la descarga,"Dado que el operador selecciona documentos para descargar, Cuando la selección supera los 25 préstamos, Entonces el sistema restringe la descarga a ese máximo.",Pendiente,,,,Escenario 3,Solo se pueden descargar selecciones de 25 préstamos
54,Firma de Documento,PER-55,Visualizar auditoría de los documentos firmados,4,Filtrar la auditoría,"Dado que el operador está en la auditoría de documentos firmados, Cuando filtra por persona, fecha, versión, estado del préstamo, tag o PF/PJ, Entonces el listado se reduce a los que coinciden.",Pendiente,,,,Escenario 4,"Filtrar por persona, fecha, versión, por estado del préstamo, tag, PF/PJ."
55,Firma de Documento,PER-63,Descargar el documento firmado del préstamo,1,Descarga en PDF,Dado que mi préstamo tiene un documento firmado Cuando lo descargo desde el detalle Entonces lo recibo en PDF,Pendiente,,,,,
56,Firma de Documento,PER-63,Descargar el documento firmado del préstamo,2,Acceso registrado,Dado que descargo mi documento Cuando se entrega el archivo Entonces queda registrado el acceso (trazabilidad de datos personales),Pendiente,,,,,
57,Sin épica,PER-61,Ver el detalle de mi préstamo,1,Datos principales,"Dado que abro mi préstamo Cuando lo veo Entonces veo el monto otorgado, el estado (Acreditado), la fecha de acreditación Y el identificador del préstamo",Pendiente,,,,,
58,Sin épica,PER-61,Ver el detalle de mi préstamo,2,Progreso de pago,Dado que veo el detalle Cuando lo reviso Entonces veo cuántas cuotas pagué sobre el total y cuántas restan,Pendiente,,,,,
59,Sin épica,PER-61,Ver el detalle de mi préstamo,3,Próxima cuota destacada,Dado que tengo cuotas pendientes Cuando veo el detalle Entonces se destaca el monto de la próxima cuota y el mes en que vence,Pendiente,,,,,
60,Sin épica,PER-61,Ver el detalle de mi préstamo,4,Deuda restante,Dado que veo el detalle Cuando lo reviso Entonces veo el saldo que me queda por pagar,Pendiente,,,,,
61,Sin épica,PER-61,Ver el detalle de mi préstamo,5,Accesos,"Dado que estoy en el detalle Cuando quiero profundizar Entonces puedo ver todas las cuotas y descargar los documentos firmados ABIERTO: ""Acreditado"" en la UI = estado OTORGADO en el sistema (mantener el mapeo)., Exponer CFT / TEA en esta vista (requisito Art. 36 LDC) — confirmar ubicación.",Pendiente,,,,,
62,Sin épica,PER-62,Ver el desglose completo de las cuotas del préstamo,1,Listado completo,Dado que mi préstamo está otorgado Cuando abro las cuotas Entonces veo todas las cuotas ordenadas por número,Pendiente,,,,,
63,Sin épica,PER-62,Ver el desglose completo de las cuotas del préstamo,2,Desglose de cada cuota,"Dado que miro una cuota Cuando la reviso Entonces veo número, fecha de vencimiento, total, y el desglose: capital amortizado, interés, IVA sobre el interés y gasto administrativo",Pendiente,,,,,
64,Sin épica,PER-62,Ver el desglose completo de las cuotas del préstamo,3,Estado de cada cuota,"Dado que miro la lista Cuando la reviso Entonces cada cuota muestra su estado (pendiente, pagada, o vencida)",Pendiente,,,,,
65,Sin épica,PER-62,Ver el desglose completo de las cuotas del préstamo,4,Solo mis cuotas,Dado que intento ver las cuotas de un préstamo que no es mío Cuando lo solicito Entonces no se me permite el acceso,Pendiente,,,,,
66,Sin épica,PER-62,Ver el desglose completo de las cuotas del préstamo,5,Antes del otorgamiento,Dado que mi préstamo todavía no fue otorgado (sin desembolso) Cuando intento ver las cuotas Entonces todavía no hay cuotas generadas,Pendiente,,,,,
67,Sin épica,PER-64,Consultar el préstamo y las cuotas de un empleado desde el backoffice,1,Abrir el préstamo,"Dado que busco un empleado o un préstamo Cuando lo abro Entonces veo su estado, monto, fechas e identificador",Pendiente,,,,,
68,Sin épica,PER-64,Consultar el préstamo y las cuotas de un empleado desde el backoffice,2,Cuotas con desglose y estado,Dado que veo el préstamo Cuando reviso las cuotas Entonces veo cada una con su desglose y su estado de pago (pendiente / pagada / parcial / vencida),Pendiente,,,,,
69,Sin épica,PER-64,Consultar el préstamo y las cuotas de un empleado desde el backoffice,3,Historial de pagos aplicados,Dado que veo el préstamo Cuando reviso su historial Entonces veo qué liquidaciones de La Mantovana se aplicaron a sus cuotas y cuándo,Pendiente,,,,,
70,Sin épica,PER-64,Consultar el préstamo y las cuotas de un empleado desde el backoffice,4,Acceso protegido y auditado,Dado que no soy backoffice Cuando intento acceder Entonces se me rechaza Y todo acceso de un operador a datos de un empleado queda registrado,Pendiente,,,,,
71,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,1,Desembolso con fondos,Dado que mi solicitud está firmada (firma + TOTP) y hay fondos en la cuenta recaudadora Cuando se procesa el desembolso Entonces recibo el monto en mi cuenta sueldo Y el préstamo pasa a OTORGADO,Pendiente,,,,,
72,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,2,"Sin fondos: la solicitud espera, no se rechaza",Dado que mi solicitud está firmada pero no hay fondos suficientes Cuando se intenta desembolsar Entonces mi solicitud permanece PENDIENTE (no recibo un rechazo) Y el sistema reintenta automáticamente cada 5 minutos (parametrizable en variable de entorno).,Pendiente,,,,,
73,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,3,Ingresan fondos dentro de la ventana,Dado que mi desembolso quedó pendiente por falta de fondos Cuando ingresan fondos a la recaudadora antes de cumplirse las 24h Entonces el sistema desembolsa automáticamente sin que yo tenga que hacer nada,Pendiente,,,,,
74,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,4,Timeout de 24h sin fondos: la solicitud se cancela,"Dado que mi solicitud quedó PENDIENTE por falta de fondos, Cuando se cumplen 24 horas corridas sin que ingresen fondos suficientes, Entonces la solicitud se cancela automáticamente.",Pendiente,,,,Ingresan fondos dentro de la ventana,"si se cumplen las 24hs SIN tener fondos para desembolsar, la solicitud SE CANCELA. (a días corridos)"
75,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,5,Destino fijo,"Dado que tengo varias cuentas Cuando se desembolsa Entonces el dinero va siempre a mi cuenta sueldo, sin que yo elija destino",Pendiente,,,,,
76,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,6,Trazabilidad,"Dado que se intenta un desembolso (exitoso o pendiente) Cuando se procesa Entonces queda registrado para auditoría: monto, cuenta destino, resultado y fecha",Pendiente,,,,,
77,Descuento de cuotas,PER-65,Desembolsar el préstamo firmado a la cuenta sueldo validando fondos,7,Procesamiento FIFO de la cola de desembolsos,"Dado que hay varias solicitudes pendientes de desembolso por falta de fondos, Cuando ingresan fondos a la recaudadora, Entonces el sistema procesa la cola en orden de llegada (FIFO), desembolsando primero la solicitud más antigua.",Pendiente,,,,Escenario 7,FIFO para procesar la cola de desembolsos pendientes
78,Descuento de cuotas,PER-66,Generar el archivo mensual de novedades para La Mantovana,1,Solo cuotas del ciclo vigente,"Dado que tengo préstamos en distintos estados Cuando genero el archivo antes del día de corte Entonces el archivo incluye solo las cuotas de préstamos OTORGADOS cuyo descuento cae en el mes corriente Y excluye préstamos en cualquier otro estado Y se registra en auditoría la exportación (operador, fecha y hora).",Pendiente,,,,,"Dado que tengo préstamos en distintos estados Cuando genero el archivo antes del día de corte Entonces el archivo incluye solo las cuotas de préstamos OTORGADOS cuyo descuento cae en el mes corriente Y excluye préstamos en cualquier otro estado Y se registra en auditoría la exportación (operador, fe…"
79,Descuento de cuotas,PER-66,Generar el archivo mensual de novedades para La Mantovana,2,Préstamo otorgado después del corte,Dado que un préstamo fue OTORGADO después del día de corte del ciclo Cuando cae el día de exportación Entonces ese préstamo queda excluido del archivo del mes corriente Y entra en el archivo del ciclo siguiente (primera cuota a ~33 días del otorgamiento),Pendiente,,,,,
80,Descuento de cuotas,PER-66,Generar el archivo mensual de novedades para La Mantovana,3,Solo los datos necesarios para el descuento,"Dado que genero el archivo Cuando reviso su contenido Entonces incluye únicamente: número de legajo, id cuota, nombre del empleado, importe de la cuota. Y no incluye datos personales accesorios que no sean necesarios para el descuento en Finegans",Pendiente,,,,,
81,Descuento de cuotas,PER-66,Generar el archivo mensual de novedades para La Mantovana,4,Archivo identificable,"Dado que genero el archivo Cuando lo descargo o se envía Entonces tiene un nombre con fecha y hora que lo identifica de forma única (ej. ""Cuotas a Descontar 20-06-2026 16:35:00""). ABIERTO: Confirmar si el legajo viene de la importación masiva de empleados o de acceso directo a la base de La Mantovana.",Pendiente,,,,,"Dado que genero el archivo Cuando lo descargo o se envía Entonces tiene un nombre con fecha y hora que lo identifica de forma única (ej. ""Cuotas a Descontar 20-06-2026 16:35:00"") ABIERTO: Confirmar si el legajo viene de la importación masiva de empleados o de acceso directo a la base de La Mantovana…"
82,Descuento de cuotas,PER-67,Configurar el envío automático del archivo de novedades,1,Configurar el día de corte,Dado que soy administrador Cuando accedo a la configuración Entonces puedo definir el día del mes en que se genera y envía el archivo (default: día 20) Y ese valor es un valor en base.,Pendiente,,,,,
83,Descuento de cuotas,PER-67,Configurar el envío automático del archivo de novedades,2,Envío automático por mail,"Dado que llega el día de corte configurado Cuando el sistema genera el archivo Entonces lo envía automáticamente por mail como adjunto a la casilla configurada (Isis Rondon, CC Nicolás López)",Pendiente,,,,,
84,Descuento de cuotas,PER-67,Configurar el envío automático del archivo de novedades,3,Registro en auditoría del envío,"Dado que el sistema completa el envío automático Cuando el mail se despacha Entonces queda registrado: fecha, hora, destinatarios, nombre del archivo adjunto, resultado del envío (ok / error)",Pendiente,,,,,
85,Descuento de cuotas,PER-67,Configurar el envío automático del archivo de novedades,4,Fallo en el envío automático,"Dado que el envío automático falla (error de servidor de mail, casilla inválida) Cuando ocurre el error Entonces el sistema notifica al backoffice para acción manual Y el archivo queda disponible para descarga y envío manual",Pendiente,,,,,
86,Descuento de cuotas,PER-68,Consultar el histórico de exportaciones,1,Listado de exportaciones,"Dado que accedo al histórico Cuando lo consulto Entonces veo todas las exportaciones, de la más reciente a la más antigua",Pendiente,,,,,
87,Descuento de cuotas,PER-68,Consultar el histórico de exportaciones,2,Detalle de cada exportación,"Dado que miro una fila del histórico Cuando la reviso Entonces veo fecha, cantidad de registros, monto total, estado y operador que la generó",Pendiente,,,,,
88,Descuento de cuotas,PER-68,Consultar el histórico de exportaciones,3,Paginación,Dado que hay muchas exportaciones Cuando consulto la primera página Entonces veo un bloque acotado (25 por defecto),Pendiente,,,,,
89,Descuento de cuotas,PER-68,Consultar el histórico de exportaciones,4,Filtrar por usuario y fecha,"Dado que accedo al histórico de exportaciones, Cuando filtro por usuario y/o por fecha, Entonces veo solo las exportaciones que coinciden con el filtro.",Pendiente,,,,Escenario 4,"filtrado por usuario, fecha"
