CASO,ID,Nombre,Descripción (Escenario Gherkin),Paso,Validación,Resultado Esperado,Resultado Obtenido,Status,Asignación
21,PER-021,Préstamo DESEMBOLSADO - Estado y transición,Given solicitud en 'Pendiente' con firma | When desembolso completado | Then estado = OTORGADO,Confirmar desembolso,BD estado actualizado,Crédito visible como activo,,,
22,PER-022,Préstamo PAGADO - Todas las cuotas pagadas,Given préstamo con N cuotas todas marcadas PAGADA | When verifica estado | Then préstamo estado = PAGADO,Verificar todas las cuotas,Cálculo agregado de estado,Préstamo cierra como saldado,,,
23,PER-023,Cancelación anticipada - Deuda restante + (Intereses futuros × % penalidad) + (Capital × % comisión) + IVA,Given préstamo en medio de plazo | When calcula cancelación anticipada | Then total = K_restante + (I_futuros × %pen) + (K × %com) + IVA,Solicitar precalc. anticipada,Fórmula aplicada,Monto correcto mostrado,,,
24,PER-024,Cancelación - Arrepentimiento dentro de 10 días (Ley de Botón de Arrepentimiento),Given préstamo otorgado hace 8 días | When usuario activa arrepentimiento | Then solicitud registra intención (flujo manual por mail),Activar arrepentimiento,Intención guardada en sistema,Email pre-completado enviado,,,
25,PER-025,Cancelación - Precancelación / Cancelación anticipada (manual, fuera de scope Quarks),Given usuario solicita cancelación anticipada | When sistema registra intención + calcula costo | Then envía mail pre-completado pero NO executa transferencia,Solicitar precancelación,Intención guardada,Mail con cálculo para firma manual,,,
26,PER-026,Cancelación - BO marca estado cambiado a 'Cancelado' (registro, no efectúa),Given operador en BO verifica que ya canceló manualmente | When marca campo 'cancelado' | Then estado = CANCELADO en BD (sin validar fondos ni ejecutar transferencia),Marcar cancelado en BO,Estado persiste en BD,Cancelación registrada como cerrada,,,
27,PER-027,Cancelación SOLICITUD pre-desembolso (desistimiento en 24h),Given solicitud en 'Pendiente' hace 3 horas sin desembolso | When usuario solicita desistir | Then estado = CANCELADO (desistimiento),Cancelar solicitud pre-desembolso,Estado actualizado,Solicitud no desembolsará,,,
28,PER-028,Concordancia entre archivo enviado y recibido - Conciliación manual,Given envió 100 registros a La Mantovana día 20 | When recibi liquidaciones día 4 hábil | Then operador verifica si 100 confirmados vs. parciales/errores,Cargar ambos archivos,Panel de conciliación abierto,Operador ve diferencias por legajo,,,
29,PER-029,Pago solo a cuenta SUELDO (no al wallet del usuario elegible por defecto),Given usuario tiene N wallets | When desembolso ejecuta | Then fondos van específicamente a wallet 'Sueldo' no a otra,Validar wallet en desembolso,Endpoint get_account retorna wallets,Dinero llega a sueldo,,,
30,PER-030,Tope descuento 30% del sueldo percibido - Validación en oferta,Given empleado sueldo=$10k | When calcula opciones de crédito | Then monto máximo cuota/mes = $3k (30%),Crear oferta con sueldo,Cálculo 30% sobre sueldo,Opciones máximas respetan tope,,,
31,PER-031,Cálculo cuota Sistema Francés - Cuota fija mensual,Given préstamo $100k TNA 89% 12 meses | When calcula cuota | Then Cuota_pura = PMT(TEM_con_IVA=0.0881*1.21; n=12; -100k); componente mensual = interés+IVA+amortización+gasto_adm,Verificar cálculo en BD,PMT formula aplicada,Cuota fija sobre plazo,,,
32,PER-032,Seguro de vida - Capitalizado al inicio (0 en cuotas mensuales),Given seguro 3% | When crea préstamo $100k | Then monto_prestado = 100k + (100k×3%) + otros_gastos; cuota columna seguro = $0 cada mes,Verificar seguro en oferta,Monto prestado aumenta 3%,Cuotas no tienen línea seguro,,,
33,PER-033,Mora - % fijo capitalizado como costo inicial (no penalidad condicional),Given mora 3% | When crea préstamo | Then se agrega 3% al monto_prestado siempre (no solo si atrasa),Crear préstamo con mora,Monto inicial incluye mora,Mora fija se cobra pase lo que pase,,,
34,PER-034,Legajo - Levantado por Quarks y guardado en usuario (no consulta externa a La Mantovana),Given operador carga empleado en BO | When ingresa legajo del usuario | Then se guarda en tabla usuarios + disponible para futuro reporte,Guardar legajo en usuario,Legajo persistido en BD,Reporte lo incluye,,,
35,PER-035,Formato HTML dinámico para documentos - Convertidos a PDF en app,Given operador carga HTML con variables {nombre} {apellido} etc. | When usuario descarha contrato | Then HTML se renderiza con variables del usuario + exporta a PDF,Cargar HTML con variables,Variables inyectadas,Descarga PDF con datos completos,,,
36,PER-036,TOTP requerido para confirmar firma - Bloquea si no se valida,Given usuario en pantalla de firma | When no ingresa TOTP válido | Then firma NO se guarda; solicitud queda en 'En Curso',Intentar firma sin TOTP,TOTP validado por backend,Firma rechazada sin TOTP correcto,,,
37,PER-037,TOTP security - No se puede bypassear llamando endpoint transferencia directamente,Given usuario con JWT válido | When llama endpoint `/transfer` sin pasar por TOTP flow | Then endpoint retorna 401/403 (TOTP obligatorio en endpoint),Intentar bypass TOTP,Endpoint valida TOTP internamente,Llamada directa rechazada,,,
38,PER-038,Documentos auditables - Cada solicitud con firma + documentos embebidos en PDF,Given solicitud firmada | When descarga PDF unificado | Then contiene [firma digital | 5 docs embebidos | timestamp | audit trail],Descargar PDF después firma,PDF contiene firma,Todos 5 documentos presentes,,,
39,PER-039,Cambio de estado de solicitud - Transición válida según máquina de estados,Given préstamo en 'Otorgado' | When intenta cambiar a 'En Curso' | Then sistema rechaza (transición inválida),Intentar transición ilegal,Validador de máquina de estados,Transición denegada,,,
40,PER-040,Logging de operador BO - Cada acción registra quién/cuándo/qué,Given operador cambia config template | When se ejecuta acción | Then audit log registra [usuario | timestamp | acción | campo_anterior | campo_nuevo],Ejecutar cambio en BO,Evento loguado,Audit trail consultable,,,
41,PER-041,Error de importación - Formato incorrecto rechaza lote íntegro,Given archivo liquidación con formato inválido (faltan columnas) | When intenta importar | Then rechaza íntegro + retorna error detallado por fila,Cargar archivo con formato malo,Validación schema,Importación abortada + error list,,,
42,PER-042,Pago/No-pago - Cuota pagada solo si descuento === monto,Given cuota = $100 | When descuento = $100.00 | Then estado = PAGADA + fecha retención registrada,Cargar pago exacto,Comparación precisa,Cuota marca como pagada,,,
43,PER-043,Arrepentimiento requiere fondos disponibles (validación pre-aprobación),Given préstamo $100k desembolsado | When usuario solicita arrepentimiento dentro 10 días | Then sistema valida si cuenta tiene fondos para devolver $100k + costos,Solicitar arrepentimiento,Consulta fondos,Muestra si devolución es viable,,,
44,PER-044,Cancelación anticipada - Base del costo sobre deuda restante (validar con Seba/Fefe),Given préstamo $100k plazo 12m; pagó 5 cuotas | When calcula precancelación | Then base = deuda_restante (no total original),Calcular precancelación,Deuda restante es base,Costo menor que si fuera sobre 100k,,,
45,PER-045,FIFO estricto - Desembolsos procesados en orden de llegada,Given 3 solicitudes [A:$10k | B:$20k | C:$15k] llegadas secuencialmente | When fondos se recuperan solo $12k | Then desembolsa A ($10k primero) + intenta B con $2k faltante (retry),Ejecutar desembolsos con fondos limitados,Orden procesamiento por timestamp,A desembolsa primero,,,
46,PER-046,Cuenta recaudadora - Consulta de saldo activa (endpoint bloqueante solicitado),Given antes de desembolso | When consulta `/funds/balance` | Then retorna saldo actual de recaudadora,Llamar endpoint saldo,API PERC responde,Saldo numérico recibido,,,
47,PER-047,Elegibilidad / Tags - BO habilita/deshabilita usuarios (fuera scope Quarks),Given operador selecciona usuario en Watson | When activa flag 'elegible_credito' | Then usuario aparece en app con opciones,Activar usuario en BO,Flag en BD,Usuario ve ofertas en app,,,
48,PER-048,Sueldo/antigüedad/presentismo - Datos de elegibilidad vienen de PERC (validar en reporte),Given usuario no alcanza presentismo requerido | When consulta opciones de crédito | Then se le ocultan o no califica,Consultar con user deshabilitado,Filtro de eligibilidad,Opciones no mostradas,,,
49,PER-049,Documentos dinámicos - Template HTML con placeholders para variables,Given template HTML con {usuario.nombre} {usuario.apellido} {monto} | When usuario descarga contrato | Then se reemplazan placeholders con datos reales,Validar HTML renderizado,Placeholders reemplazados,PDF tiene datos inyectados,,,
50,PER-050,Firma manual de cancelaciones - Flujo email pre-completado (out-of-scope Quarks),Given usuario solicita cancelación anticipada | When sistema genera mail pre-completado con monto/fórmula | Then usuario firma y devuelve por mail (manual),Verificar mail template,Mail enviado con datos,Usuario puede firmar offline,,,
